# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
100 392.25 8.01096 -302.256 -294.245 24252.1
200 393.553 8.03758 -300.66 -292.622 24252.1
300 505.478 10.3234 -301.039 -290.716 24252.1
400 518.729 10.5941 -300.666 -290.072 24252.1
500 453.213 9.25601 -299.358 -290.102 24252.1
600 519.138 10.6024 -299.375 -288.772 24252.1
700 557.047 11.3766 -300.275 -288.898 24252.1
800 462.631 9.44836 -299.663 -290.214 24252.1
900 524.366 10.7092 -300.809 -290.1 24252.1
1000 488.061 9.96771 -300.828 -290.86 24252.1
1100 442.627 9.03981 -300.32 -291.28 24252.1
1200 536.353 10.954 -301.283 -290.329 24252.1
1300 483.641 9.87745 -300.189 -290.312 24252.1
1400 527.698 10.7772 -301.15 -290.373 24252.1
1500 469.053 9.57952 -300.77 -291.191 24252.1
1600 486.865 9.94329 -301.839 -291.895 24252.1
1700 438.331 8.95208 -301.894 -292.942 24252.1
1800 454.606 9.28447 -301.877 -292.592 24252.1
1900 504.839 10.3104 -301.223 -290.912 24252.1
2000 507.815 10.3711 -300.892 -290.521 24252.1
2100 500.388 10.2195 -301.235 -291.016 24252.1
2200 476.648 9.73464 -301.634 -291.9 24252.1
2300 467.114 9.53991 -302.06 -292.52 24252.1
2400 477.924 9.76069 -301.728 -291.967 24252.1
2500 525.866 10.7398 -300.847 -290.107 24252.1
2600 514.637 10.5105 -300.605 -290.094 24252.1
2700 494.98 10.109 -301.252 -291.143 24252.1
2800 471.192 9.62321 -301.582 -291.959 24252.1
2900 479.023 9.78315 -301.755 -291.972 24252.1
3000 484.14 9.88764 -301.45 -291.562 24252.1
3100 484.968 9.90456 -301.201 -291.296 24252.1
3200 499.45 10.2003 -301.347 -291.147 24252.1
3300 493.24 10.0735 -301.274 -291.201 24252.1
3400 480.137 9.8059 -301.762 -291.956 24252.1
3500 449.826 9.18683 -302.395 -293.209 24252.1
3600 452.433 9.24008 -302.156 -292.916 24252.1
