# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
100 448.288 31.2327 -858.36 -827.127 7762.71
200 508.661 35.439 -853.902 -818.463 7762.71
300 585.926 40.8222 -848.059 -807.237 7762.71
400 667.633 46.5148 -841.486 -794.971 8289.29
500 745.832 51.963 -834.962 -782.999 8636.06
600 810.422 56.4631 -829.468 -773.005 8942.96
700 848.798 59.1368 -826.565 -767.428 8737.07
800 840.212 58.5386 -827.417 -768.878 8668.05
900 801.562 55.8458 -830.567 -774.721 8682.23
1000 773.209 53.8704 -833.193 -779.322 8670.09
1100 763.45 53.1905 -833.277 -780.086 8932.51
1200 788.413 54.9297 -831.456 -776.526 8855.94
1300 821.814 57.2568 -828.812 -771.555 8676.26
1400 834.598 58.1474 -827.869 -769.722 8697.37
1500 818.044 56.9942 -829.311 -772.317 8709.87
1600 788.137 54.9105 -831.591 -776.681 8860.08
1700 770.627 53.6906 -832.863 -779.172 8636.18
1800 779.785 54.3285 -832.211 -777.882 8670.64
1900 808.634 56.3385 -829.972 -773.633 8802.85
2000 824.482 57.4426 -828.523 -771.08 8686.81
2100 819.854 57.1202 -829.112 -771.992 8808.86
2200 797.215 55.5429 -830.871 -775.328 8708.32
2300 780.911 54.407 -832.066 -777.659 8771.36
2400 780.242 54.3604 -831.997 -777.637 8555.28
2500 802.115 55.8843 -830.322 -774.437 8719.63
2600 822.754 57.3223 -828.805 -771.483 8729.52
2700 817.624 56.9649 -829.099 -772.134 8829.52
2800 791.919 55.1739 -830.953 -775.779 8815.19
2900 777.653 54.18 -832.545 -778.365 8739.87
3000 784.953 54.6886 -831.803 -777.115 8795.79
3100 804.321 56.038 -830.057 -774.019 8819.28
3200 822.675 57.3168 -828.578 -771.261 8795.55
3300 818.492 57.0253 -828.803 -771.778 8778
3400 791.076 55.1153 -831.364 -776.249 8754.9
3500 788.1 54.9079 -831.736 -776.828 8819.61
3600 797.441 55.5587 -830.729 -775.17 8767.47
3700 818.528 57.0279 -828.998 -771.97 8661.88
3800 847.699 59.0602 -826.543 -767.483 8807.62
3900 836.736 58.2964 -827.322 -769.025 8687.58
4000 806.317 56.1771 -829.984 -773.807 8645.81
4100 793.52 55.2855 -830.889 -775.604 8741.36
4200 788.812 54.9575 -831.519 -776.562 8571.71
4300 791.997 55.1794 -831.261 -776.081 8747.98
4400 812.7 56.6218 -829.252 -772.63 8805.51
4500 834.43 58.1358 -827.458 -769.323 8731.89
4600 820.666 57.1768 -828.681 -771.504 8629.13
4700 791.393 55.1373 -830.922 -775.784 8651.41
4800 794.892 55.3811 -831.092 -775.711 8574.29
4900 802.84 55.9349 -830.055 -774.12 8669.9
5000 812.672 56.6199 -829.485 -772.865 8590.56
5100 819.807 57.1169 -828.809 -771.693 8662.64
5200 804.398 56.0434 -830.03 -773.986 8713.04
5300 785.525 54.7285 -831.452 -776.723 8602.5
5400 787.559 54.8702 -831.574 -776.704 8657.09
5500 800.574 55.7769 -830.093 -774.316 8609.05
5600 840.989 58.5927 -827.026 -768.434 8605.17
5700 841.639 58.638 -826.962 -768.324 8742.59
5800 821.873 57.2609 -827.796 -770.536 8595.25
5900 816.27 56.8705 -828.812 -771.942 8593.53
6000 802.727 55.927 -829.799 -773.872 8769.45
6100 789.393 54.998 -831.17 -776.172 8685.36
6200 787.23 54.8472 -831.335 -776.488 8654.97
6300 810.537 56.4711 -829.205 -772.734 8498.68
6400 841.555 58.6321 -827.02 -768.388 8719.8
6500 830.944 57.8929 -827.705 -769.812 8649.85
6600 809.382 56.3906 -829.347 -772.956 8591.98
6700 802.063 55.8807 -830.37 -774.489 8561.8
6800 792.243 55.1965 -830.952 -775.755 8757.69
6900 787.786 54.886 -830.936 -776.05 8715.46
7000 798.269 55.6164 -830.411 -774.794 8647.76
7100 818.56 57.0301 -828.6 -771.57 8596.22
7200 827.654 57.6637 -827.824 -770.16 8620.54
7300 811.243 56.5203 -829.39 -772.87 8822.03
7400 793.12 55.2576 -830.905 -775.647 8686.99
7500 794.77 55.3726 -830.826 -775.453 8595.99
7600 804.795 56.071 -830.107 -774.036 8515.74
7700 812.482 56.6066 -829.171 -772.565 8485.63
7800 811.38 56.5299 -829.087 -772.557 8765.66
7900 794.138 55.3285 -830.456 -775.127 8792.49
8000 782.868 54.5434 -831.53 -776.987 8686.97
