# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
100 448.285 31.2326 -858.36 -827.128 7762.71
200 508.632 35.437 -853.904 -818.467 7762.71
300 585.815 40.8144 -848.068 -807.253 7762.71
400 667.333 46.4939 -841.51 -795.016 8289.2
500 745.177 51.9174 -835.015 -783.098 8636
600 809.163 56.3754 -829.574 -773.198 8942.26
700 846.327 58.9646 -826.763 -767.798 8737.88
800 836.228 58.2611 -827.755 -769.494 8677.87
900 796.694 55.5067 -830.963 -775.456 8728.06
1000 769.09 53.5835 -833.534 -779.95 8736.84
1100 760.592 52.9913 -833.517 -780.526 8888.23
1200 783.887 54.6143 -831.788 -777.174 8721.48
1300 813.901 56.7055 -829.53 -772.825 8707.35
1400 823.355 57.3641 -828.648 -771.284 8742.91
1500 808.403 56.3224 -830.2 -773.877 8818.3
1600 779.576 54.314 -832.272 -777.958 8729.4
1700 766.159 53.3792 -833.132 -779.753 8580.84
1800 777.029 54.1366 -832.674 -778.537 8626.61
1900 801.272 55.8256 -830.553 -774.727 8766.86
2000 814.579 56.7527 -828.998 -772.245 8629.86
2100 812.447 56.6042 -830.058 -773.454 8630.27
2200 785.774 54.7458 -831.76 -777.014 8770.5
2300 771.372 53.7424 -832.959 -779.217 8681.59
2400 772.322 53.8086 -832.733 -778.925 8593.39
2500 792.295 55.2001 -830.923 -775.723 8603.75
2600 816.245 56.8688 -829.374 -772.505 8526.23
2700 806.965 56.2222 -829.929 -773.707 8588.85
2800 773.32 53.8781 -832.473 -778.595 8710.36
2900 775.406 54.0235 -832.51 -778.486 8726.21
3000 784.251 54.6397 -831.744 -777.104 8725.13
3100 800.489 55.7711 -830.484 -774.713 8625.49
3200 815.517 56.8181 -829.271 -772.453 8541.7
3300 802.372 55.9023 -830.051 -774.149 8621.8
3400 776.406 54.0931 -832.461 -778.368 8672.67
3500 770.062 53.6511 -833 -779.349 8673.81
3600 778.969 54.2717 -832.055 -777.783 8474.74
3700 806.748 56.2071 -830.017 -773.81 8587.53
3800 821.085 57.206 -828.86 -771.654 8750.78
3900 793.209 55.2638 -831.076 -775.812 8647.12
4000 771.587 53.7574 -832.968 -779.211 8700.88
4100 771.443 53.7474 -832.635 -778.887 8578.62
4200 787.05 54.8347 -831.632 -776.797 8587.64
4300 802.097 55.8831 -830.401 -774.518 8578.78
4400 803.1 55.953 -830.302 -774.349 8624.05
4500 777.653 54.18 -832.447 -778.267 8573.04
4600 766.535 53.4054 -833.22 -779.815 8572.55
4700 770.94 53.7123 -832.668 -778.955 8605.81
4800 789.159 54.9817 -831.388 -776.407 8477.9
4900 817.356 56.9462 -829.032 -772.086 8625.51
5000 813.265 56.6612 -829.374 -772.712 8630.28
5100 784.244 54.6392 -831.826 -777.187 8573.82
5200 773.1 53.8628 -832.496 -778.633 8650.72
5300 772.91 53.8496 -832.609 -778.76 8543.79
5400 770.332 53.67 -832.742 -779.072 8702.85
5500 762.119 53.0978 -833.589 -780.491 8450.29
5600 751.176 52.3353 -834.349 -782.014 8625.75
5700 757.816 52.7979 -833.993 -781.195 8771.84
5800 784.593 54.6636 -831.667 -777.004 8784.97
5900 797.057 55.5319 -830.783 -775.251 8523.52
6000 784.154 54.6329 -831.622 -776.989 8535.95
6100 768.433 53.5376 -833.108 -779.571 8618.45
6200 764.254 53.2465 -833.209 -779.963 8646.73
6300 771.895 53.7789 -832.723 -778.944 8620.64
6400 777.207 54.149 -832.086 -777.937 8609.81
6500 775.357 54.0201 -832.463 -778.443 8576.41
6600 758.438 52.8413 -833.779 -780.938 8539.22
6700 746.703 52.0237 -834.748 -782.725 8579.04
6800 754.874 52.593 -833.97 -781.377 8468.13
6900 786.397 54.7893 -831.495 -776.706 8640.86
7000 799.998 55.7369 -830.425 -774.688 8637.51
7100 784.523 54.6587 -831.44 -776.782 8595.08
7200 773.567 53.8953 -832.424 -778.529 8594.71
7300 766.716 53.4181 -833.017 -779.599 8723.97
7400 762.28 53.109 -833.278 -780.169 8605.88
7500 758.493 52.8451 -833.595 -780.75 8830.11
7600 737.317 51.3697 -835.38 -784.011 8591.11
7700 731.442 50.9605 -836.026 -785.066 8555.42
7800 756.894 52.7337 -833.907 -781.173 8719.28
7900 776.333 54.088 -832.248 -778.16 8561.79
8000 777.559 54.1735 -832.149 -777.975 8584.72
8100 762.478 53.1228 -833.202 -780.079 8791.57
