# Time-averaged data for fix info
# TimeStep v_temp v_ke v_pe v_etotal v_vol
100 130.803 0.0845379 -7.44422 -7.35969 864.893
200 164.52 0.106329 -7.52352 -7.41719 864.893
300 88.1559 0.0569752 -7.53877 -7.48179 864.893
400 136.131 0.0879818 -7.59327 -7.50529 864.893
500 76.3261 0.0493296 -7.5873 -7.53797 864.893
600 89.1267 0.0576027 -7.60056 -7.54296 864.893
700 94.7193 0.0612171 -7.59145 -7.53023 864.893
800 136.845 0.088443 -7.56703 -7.47858 864.893
900 123.009 0.0795009 -7.54178 -7.46228 864.893
1000 116.521 0.0753073 -7.58569 -7.51039 864.893
1100 96.0607 0.0620841 -7.60525 -7.54317 864.893
1200 72.0989 0.0465976 -7.59162 -7.54502 864.893
1300 79.0524 0.0510916 -7.57422 -7.52313 864.893
1400 99.3468 0.0642079 -7.54986 -7.48566 864.893
1500 121.062 0.0782424 -7.55881 -7.48057 864.893
1600 120.729 0.0780271 -7.57978 -7.50175 864.893
1700 89.2015 0.057651 -7.59086 -7.53321 864.893
1800 81.0948 0.0524116 -7.59688 -7.54447 864.893
1900 95.2636 0.0615689 -7.58818 -7.52661 864.893
2000 137.178 0.088658 -7.5284 -7.43975 864.893
2100 138.186 0.0893098 -7.54593 -7.45662 864.893
2200 88.9862 0.0575119 -7.5687 -7.51119 864.893
2300 85.5734 0.0553061 -7.58852 -7.53322 864.893
2400 100.524 0.0649688 -7.5992 -7.53423 864.893
2500 82.0953 0.0530582 -7.57739 -7.52433 864.893
2600 149.674 0.0967343 -7.57773 -7.48099 864.893
2700 101.569 0.0656441 -7.54467 -7.47902 864.893
2800 76.3814 0.0493654 -7.56505 -7.51569 864.893
2900 78.7564 0.0509003 -7.59851 -7.54761 864.893
3000 65.4497 0.0423002 -7.60029 -7.55799 864.893
3100 104.017 0.0672261 -7.57682 -7.50959 864.893
3200 145.133 0.0937998 -7.55655 -7.46275 864.893
3300 104.447 0.0675041 -7.55097 -7.48347 864.893
3400 95.263 0.0615686 -7.59113 -7.52956 864.893
3500 60.7264 0.0392475 -7.58823 -7.54898 864.893
3600 76.6356 0.0495297 -7.58202 -7.53249 864.893
3700 109.866 0.0710065 -7.58031 -7.50931 864.893
3800 111.613 0.0721355 -7.58875 -7.51661 864.893
3900 87.1192 0.0563052 -7.58456 -7.52825 864.893
4000 83.7219 0.0541095 -7.57285 -7.51874 864.893
4100 177.555 0.114754 -7.57343 -7.45868 864.893
4200 127.974 0.0827095 -7.56174 -7.47903 864.893
4300 104.433 0.067495 -7.58234 -7.51484 864.893
4400 101.502 0.0656011 -7.60095 -7.53535 864.893
4500 64.8586 0.0419182 -7.58639 -7.54447 864.893
4600 100.169 0.0647395 -7.5736 -7.50886 864.893
4700 172.333 0.111379 -7.56814 -7.45677 864.893
4800 121.84 0.0787452 -7.57096 -7.49222 864.893
4900 86.9431 0.0561914 -7.57941 -7.52321 864.893
5000 87.1165 0.0563034 -7.58404 -7.52774 864.893
5100 99.7058 0.0644399 -7.57484 -7.5104 864.893
5200 150.556 0.0973046 -7.55309 -7.45578 864.893
5300 127.165 0.0821871 -7.5452 -7.46301 864.893
5400 87.5972 0.0566141 -7.57891 -7.52229 864.893
5500 95.6484 0.0618177 -7.60074 -7.53892 864.893
5600 76.9153 0.0497104 -7.58743 -7.53772 864.893
5700 95.8215 0.0619295 -7.57251 -7.51058 864.893
5800 108.586 0.0701789 -7.5274 -7.45722 864.893
5900 145.33 0.0939267 -7.54029 -7.44636 864.893
6000 125.862 0.0813447 -7.55936 -7.47802 864.893
6100 100.698 0.0650813 -7.57021 -7.50513 864.893
6200 77.0064 0.0497693 -7.57404 -7.52427 864.893
6300 85.9096 0.0555235 -7.58597 -7.53045 864.893
6400 99.7499 0.0644684 -7.58796 -7.52349 864.893
6500 91.0217 0.0588274 -7.56563 -7.5068 864.893
6600 127.564 0.0824444 -7.56312 -7.48067 864.893
6700 113.945 0.073643 -7.56564 -7.492 864.893
6800 79.4177 0.0513277 -7.59014 -7.53881 864.893
6900 85.5161 0.0552691 -7.60884 -7.55357 864.893
7000 65.7324 0.0424829 -7.59154 -7.54906 864.893
7100 112.577 0.0727586 -7.59611 -7.52335 864.893
7200 100.753 0.0651165 -7.57876 -7.51365 864.893
7300 95.755 0.0618865 -7.58167 -7.51978 864.893
7400 105.572 0.0682316 -7.59977 -7.53154 864.893
7500 67.9518 0.0439173 -7.59132 -7.54741 864.893
7600 74.0299 0.0478456 -7.58893 -7.54108 864.893
7700 145.509 0.0940428 -7.5862 -7.49215 864.893
7800 132.618 0.0857114 -7.58447 -7.49876 864.893
7900 77.8786 0.050333 -7.60142 -7.55108 864.893
8000 74.0283 0.0478445 -7.60301 -7.55517 864.893
8100 88.9857 0.0575115 -7.59702 -7.53951 864.893
8200 96.7455 0.0625267 -7.57846 -7.51593 864.893
8300 132.074 0.0853595 -7.55049 -7.46513 864.893
8400 190.175 0.12291 -7.53039 -7.40748 864.893
8500 99.9123 0.0645734 -7.52172 -7.45715 864.893
8600 117.946 0.0762284 -7.59477 -7.51854 864.893
8700 75.5117 0.0488033 -7.59257 -7.54377 864.893
8800 74.2053 0.047959 -7.58418 -7.53623 864.893
8900 129.246 0.0835321 -7.57787 -7.49433 864.893
9000 108.953 0.0704161 -7.55882 -7.48841 864.893
9100 78.1146 0.0504855 -7.57877 -7.52829 864.893
9200 56.2423 0.0363495 -7.59969 -7.56334 864.893
9300 72.876 0.0470998 -7.60206 -7.55496 864.893
9400 96.7734 0.0625447 -7.59079 -7.52824 864.893
9500 123.405 0.0797569 -7.58859 -7.50883 864.893
9600 81.5128 0.0526818 -7.58303 -7.53035 864.893
9700 50.4283 0.0325919 -7.60221 -7.56962 864.893
9800 54.1965 0.0350272 -7.6054 -7.57037 864.893
9900 83.5468 0.0539963 -7.59912 -7.54512 864.893
10000 74.4033 0.0480869 -7.57364 -7.52555 864.893
10100 78.7474 0.0508945 -7.55779 -7.5069 864.893
10200 134.544 0.086956 -7.5707 -7.48375 864.893
10300 118.38 0.076509 -7.57792 -7.50141 864.893
10400 94.6807 0.0611922 -7.58277 -7.52158 864.893
10500 88.8012 0.0573923 -7.58387 -7.52648 864.893
10600 80.0052 0.0517074 -7.57789 -7.52618 864.893
10700 116.375 0.0752133 -7.56709 -7.49188 864.893
10800 153.507 0.0992119 -7.54999 -7.45078 864.893
10900 104.149 0.0673116 -7.57086 -7.50355 864.893
11000 97.3983 0.0629486 -7.59642 -7.53347 864.893
11100 73.3809 0.0474261 -7.59132 -7.54389 864.893
11200 107.012 0.0691619 -7.59669 -7.52753 864.893
11300 118.69 0.0767092 -7.5707 -7.49399 864.893
11400 93.5425 0.0604566 -7.54532 -7.48486 864.893
11500 145.708 0.0941709 -7.57301 -7.47884 864.893
11600 69.0136 0.0446035 -7.57048 -7.52588 864.893
